Type;Subtype;Name;Law;lambda;alpha;C;Dmin;Dmax;Source
Rain;;Rain_1;Exponential;-0.6;-10.43;9.65;0;20;Atlas(1973)
Rain;;Rain_2;Power;0.67;3.78;;0;20;
Rain;;Rain_3;Exponential;-0.6;-9.65;10.3;0;20;
;;;;;;;;;
Graupel;Lump;Graupel_Lump_1;Power;0.66;1.3;;0.5;3;Locatelli&Hobbs(1974)
Graupel;Lump;Graupel_Lump_2;Power;0.46;1.16;;0.5;2;Locatelli&Hobbs(1974)
Graupel;Hexagonal;Graupel_Hexagonal;Power;0.57;1.1;;0.8;3.2;Locatelli&Hobbs(1974)
Graupel;Conical;Graupel_Conical;Power;0.65;1.2;;0.8;3;Locatelli&Hobbs(1974)
Snow;Unrimed aggregates;Snow_Aggregates_1;Power;0.16;0.81;;2;10;Locatelli&Hobbs(1974)
Snow;Densely rimed aggregates;Snow_Aggregates_2;Power;0.27;0.79;;2;12;Locatelli&Hobbs(1974)
Snow;Aggregates of unrimed assemblages of plates, side planes, columns and bullets;Snow_Aggregates_3;Power;0.41;0.69;;0.2;3;Locatelli&Hobbs(1974)
Snow;Planes;Snow_Planes;Power;0.99;0.81;;0.4;1.2;Locatelli&Hobbs(1974)
